"","age","sex","born","educ","income","cohort","income16","granborn","income16_cat","income_cat"
"619",35,"Male","Yes",12,12,1986,20,"None","$60,000 TO $74,999","$25,000 OR MORE"
"620",81,"Male","Yes",16,12,1940,19,NA,"$50,000 TO $59,999","$25,000 OR MORE"
"621",21,"Male","Yes",12,12,2000,18,"One","$40,000 TO $49,999","$25,000 OR MORE"
"622",89,"Female","Yes",12,12,1932,17,"None","$35,000 TO $39,999","$25,000 OR MORE"
"623",69,"Male","Yes",14,12,1952,18,"None","$40,000 TO $49,999","$25,000 OR MORE"
"624",70,"Female","Yes",12,9,1951,10,"None","$12,500 TO $14,999","$10,000 TO $14,999"
"625",70,"Male","Yes",12,10,1951,11,"None","$15,000 TO $17,499","$15,000 TO $19,999"
"626",38,"Male","Yes",13,13,1983,26,"None","$170,000 OR OVER",NA
"627",51,"Male","Yes",18,13,1970,26,"None","$170,000 OR OVER",NA
"628",79,"Female","Yes",12,12,1942,19,"Three","$50,000 TO $59,999","$25,000 OR MORE"
"629",80,"Female","Yes",12,10,1941,11,"Two","$15,000 TO $17,499","$15,000 TO $19,999"
"630",39,"Female",NA,12,12,1982,22,"None","$90,000 TO $109,999","$25,000 OR MORE"
"631",30,"Female","Yes",12,12,1991,16,"None","$30,000 TO $34,999","$25,000 OR MORE"
"632",33,"Female","No",12,9,1988,10,"Four","$12,500 TO $14,999","$10,000 TO $14,999"
"633",29,"Male","Yes",13,10,1992,11,"None","$15,000 TO $17,499","$15,000 TO $19,999"
"634",22,"Female","Yes",14,12,1999,18,"Two","$40,000 TO $49,999","$25,000 OR MORE"
"635",59,"Female","No",16,12,1962,19,"Four","$50,000 TO $59,999","$25,000 OR MORE"
"636",61,"Female","Yes",12,10,1960,11,NA,"$15,000 TO $17,499","$15,000 TO $19,999"
"637",46,"Female","No",12,11,1975,14,"Three","$22,500 TO $24,999","$20,000 TO $24,999"
"638",39,"Female","Yes",14,12,1982,21,"None","$75,000 TO $89,999","$25,000 OR MORE"
"639",72,"Male","No",12,NA,1949,NA,"Four",NA,NA
"640",55,"Female","Yes",12,12,1966,19,"Four","$50,000 TO $59,999","$25,000 OR MORE"
"641",51,"Male","Yes",14,12,1970,17,"None","$35,000 TO $39,999","$25,000 OR MORE"
"642",23,"Female","Yes",15,6,1998,6,"Four","$6,000 TO $6,999","$6,000 TO $6,999"
"643",55,"Female","Yes",18,12,1966,22,"None","$90,000 TO $109,999","$25,000 OR MORE"
"644",NA,NA,NA,NA,13,9999,27,NA,NA,NA
"645",53,"Male","Yes",18,NA,1968,NA,"None",NA,NA
"646",59,"Male","Yes",20,12,1962,25,"None","$150,000 TO $169,999","$25,000 OR MORE"
"647",61,"Transgender","Yes",20,12,1960,19,"None","$50,000 TO $59,999","$25,000 OR MORE"
"648",33,"Male","Yes",18,1,1988,1,"None","$1,000 AND UNDER","$1,000 AND UNDER"
"649",27,"Male","Yes",19,11,1994,13,"None","$20,000 TO $22,499","$20,000 TO $24,999"
"650",25,"Female","No",17,12,1996,19,"Four","$50,000 TO $59,999","$25,000 OR MORE"
"651",65,"Male","Yes",13,12,1956,18,NA,"$40,000 TO $49,999","$25,000 OR MORE"
"652",55,"Female","Yes",14,12,1966,23,"None","$110,000 TO $129,999","$25,000 OR MORE"
"653",25,"Male","Yes",10,1,1996,1,"None","$1,000 AND UNDER","$1,000 AND UNDER"
"654",61,"Male","Yes",20,12,1960,25,"None","$150,000 TO $169,999","$25,000 OR MORE"
"655",77,"Male","No",20,12,1944,16,"Four","$30,000 TO $34,999","$25,000 OR MORE"
"656",67,"Male","Yes",13,11,1954,14,"None","$22,500 TO $24,999","$20,000 TO $24,999"
"657",NA,"Male","Yes",18,7,9999,7,"Two","$7,000 TO $7,999","$7,000 TO $7,999"
"658",27,"Female","No",16,12,1994,22,"Four","$90,000 TO $109,999","$25,000 OR MORE"
"659",50,"Female","Yes",18,12,1971,25,"None","$150,000 TO $169,999","$25,000 OR MORE"
"660",72,"Male","Yes",16,12,1949,20,"None","$60,000 TO $74,999","$25,000 OR MORE"
"661",71,"Male","Yes",16,12,1950,24,"None","$130,000 TO $149,999","$25,000 OR MORE"
"662",56,"Female","Yes",16,13,1965,26,NA,"$170,000 OR OVER",NA
"663",35,"Female","Yes",16,12,1986,19,"None","$50,000 TO $59,999","$25,000 OR MORE"
"664",72,"Female","Yes",12,12,1949,19,NA,"$50,000 TO $59,999","$25,000 OR MORE"
"665",35,"Male","Yes",14,NA,1986,NA,"One",NA,NA
"666",46,"Male","No",16,NA,1975,NA,NA,NA,NA
"667",28,"Male","Yes",16,12,1993,25,"None","$150,000 TO $169,999","$25,000 OR MORE"
"668",32,"Male",NA,7,10,1989,12,NA,"$17,500 TO $19,999","$15,000 TO $19,999"
"669",32,"Male","Yes",20,12,1989,20,"One","$60,000 TO $74,999","$25,000 OR MORE"
"670",43,"Female","Yes",14,10,1978,12,NA,"$17,500 TO $19,999","$15,000 TO $19,999"
"671",34,"Female","Yes",11,12,1987,19,"None","$50,000 TO $59,999","$25,000 OR MORE"
"672",47,"Female","Yes",16,13,1974,26,"None","$170,000 OR OVER",NA
"673",59,"Female","Yes",18,12,1962,23,"None","$110,000 TO $129,999","$25,000 OR MORE"
"674",NA,"Male","Yes",16,11,9999,13,"None","$20,000 TO $22,499","$20,000 TO $24,999"
"675",NA,"Male","Yes",12,9,9999,10,"None","$12,500 TO $14,999","$10,000 TO $14,999"
"676",46,"Male","Yes",15,12,1975,20,"None","$60,000 TO $74,999","$25,000 OR MORE"
"677",69,"Female","Yes",18,13,1952,26,"Three","$170,000 OR OVER",NA
"678",62,"Female","Yes",19,12,1959,21,"One","$75,000 TO $89,999","$25,000 OR MORE"
"679",55,"Female","Yes",13,12,1966,16,NA,"$30,000 TO $34,999","$25,000 OR MORE"
"680",NA,NA,"Yes",10,9,9999,9,"None","$10,000 TO $12,499","$10,000 TO $14,999"
"681",78,"Female","Yes",12,9,1943,10,"One","$12,500 TO $14,999","$10,000 TO $14,999"
"682",72,"Female","Yes",12,11,1949,14,"None","$22,500 TO $24,999","$20,000 TO $24,999"
"683",71,"Female","Yes",12,12,1950,18,"None","$40,000 TO $49,999","$25,000 OR MORE"
"684",85,"Female","Yes",12,12,1936,20,"Two","$60,000 TO $74,999","$25,000 OR MORE"
"685",76,"Male","Yes",17,12,1945,24,"None","$130,000 TO $149,999","$25,000 OR MORE"
"686",35,"Male","No",16,12,1986,22,"Four","$90,000 TO $109,999","$25,000 OR MORE"
"687",54,"Female","Yes",14,9,1967,10,"None","$12,500 TO $14,999","$10,000 TO $14,999"
"688",28,"Male","Yes",17,12,1993,19,"Three","$50,000 TO $59,999","$25,000 OR MORE"
"689",77,"Female","Yes",14,13,1944,27,"Four",NA,NA
"690",69,"Male","Yes",14,12,1952,25,"None","$150,000 TO $169,999","$25,000 OR MORE"
"691",77,"Male","Yes",18,12,1944,20,"None","$60,000 TO $74,999","$25,000 OR MORE"
"692",60,"Female","Yes",20,12,1961,21,"None","$75,000 TO $89,999","$25,000 OR MORE"
"693",NA,"Female","Yes",12,12,9999,18,"None","$40,000 TO $49,999","$25,000 OR MORE"
"694",NA,NA,NA,NA,13,9999,27,NA,NA,NA
"695",75,"Female","Yes",12,12,1946,18,NA,"$40,000 TO $49,999","$25,000 OR MORE"
"696",43,"Male","Yes",15,12,1978,25,"None","$150,000 TO $169,999","$25,000 OR MORE"
"697",75,"Male","Yes",12,12,1946,17,"Four","$35,000 TO $39,999","$25,000 OR MORE"
"698",76,"Female","Yes",18,12,1945,22,"Three","$90,000 TO $109,999","$25,000 OR MORE"
"699",31,"Female","Yes",17,12,1990,16,"Three","$30,000 TO $34,999","$25,000 OR MORE"
"700",47,"Male","Yes",12,11,1974,14,"Two","$22,500 TO $24,999","$20,000 TO $24,999"
"701",48,"Male","Yes",18,13,1973,26,"None","$170,000 OR OVER",NA
"702",NA,"Female","Yes",13,12,9999,18,"None","$40,000 TO $49,999","$25,000 OR MORE"
"703",38,"Female","Yes",18,NA,1983,NA,"One",NA,NA
"704",23,"Female","Yes",12,9,1998,9,"None","$10,000 TO $12,499","$10,000 TO $14,999"
"705",31,"Female","Yes",16,12,1990,17,"None","$35,000 TO $39,999","$25,000 OR MORE"
"706",47,"Male","Yes",13,12,1974,20,"None","$60,000 TO $74,999","$25,000 OR MORE"
"707",89,"Male","Yes",16,12,1932,17,"Two","$35,000 TO $39,999","$25,000 OR MORE"
"708",60,"Male","Yes",15,12,1961,18,"None","$40,000 TO $49,999","$25,000 OR MORE"
"709",89,"Male","Yes",11,12,1932,16,"None","$30,000 TO $34,999","$25,000 OR MORE"
"710",53,"Male","Yes",13,12,1968,15,"None","$25,000 TO $29,999","$25,000 OR MORE"
"711",62,"Male","Yes",12,12,1959,25,"None","$150,000 TO $169,999","$25,000 OR MORE"
"712",60,"Female","Yes",12,12,1961,20,"None","$60,000 TO $74,999","$25,000 OR MORE"
"713",54,"Female","Yes",12,9,1967,10,"One","$12,500 TO $14,999","$10,000 TO $14,999"
"714",73,"Female","Yes",16,10,1948,12,"None","$17,500 TO $19,999","$15,000 TO $19,999"
"715",25,"Female","Yes",15,12,1996,16,"None","$30,000 TO $34,999","$25,000 OR MORE"
"716",42,"Female","Yes",13,NA,1979,NA,"None",NA,NA
"717",49,"Female","Yes",12,12,1972,15,"None","$25,000 TO $29,999","$25,000 OR MORE"
"718",37,"Female","Yes",14,11,1984,14,"None","$22,500 TO $24,999","$20,000 TO $24,999"
"719",30,"Female","No",12,10,1991,11,"Four","$15,000 TO $17,499","$15,000 TO $19,999"
"720",67,"Female","Yes",17,12,1954,15,"None","$25,000 TO $29,999","$25,000 OR MORE"
"721",37,"Female","Yes",19,7,1984,7,"None","$7,000 TO $7,999","$7,000 TO $7,999"
"722",26,"Male","Yes",15,12,1995,18,"Two","$40,000 TO $49,999","$25,000 OR MORE"
"723",55,"Male","Yes",20,3,1966,3,"Two","$3,000 TO $3,999","$3,000 TO $3,999"
"724",70,"Female","Yes",13,12,1951,20,"None","$60,000 TO $74,999","$25,000 OR MORE"
"725",NA,"Female","Yes",14,12,9999,22,NA,"$90,000 TO $109,999","$25,000 OR MORE"
"726",32,"Male","Yes",18,12,1989,19,"None","$50,000 TO $59,999","$25,000 OR MORE"
"727",33,"Male","Yes",14,12,1988,20,"None","$60,000 TO $74,999","$25,000 OR MORE"
"728",38,"Female","Yes",14,NA,1983,NA,"None",NA,NA
"729",42,"Female","Yes",16,12,1979,24,"None","$130,000 TO $149,999","$25,000 OR MORE"
"730",68,"Female","Yes",18,12,1953,22,"None","$90,000 TO $109,999","$25,000 OR MORE"
"731",70,"Male","Yes",20,12,1951,23,"None","$110,000 TO $129,999","$25,000 OR MORE"
"732",67,"Female","Yes",14,12,1954,17,"None","$35,000 TO $39,999","$25,000 OR MORE"
"733",89,"Male","Yes",14,12,1932,21,"None","$75,000 TO $89,999","$25,000 OR MORE"
"734",49,"Male","Yes",16,12,1972,22,"Two","$90,000 TO $109,999","$25,000 OR MORE"
"735",57,"Male","Yes",14,12,1964,21,"None","$75,000 TO $89,999","$25,000 OR MORE"
"736",25,"Female","Yes",12,NA,1996,NA,"None",NA,NA
"737",68,"Female","Yes",18,12,1953,18,"None","$40,000 TO $49,999","$25,000 OR MORE"
"738",65,"Female","Yes",16,12,1956,17,"None","$35,000 TO $39,999","$25,000 OR MORE"
"739",NA,"Female","Yes",11,9,9999,9,NA,"$10,000 TO $12,499","$10,000 TO $14,999"
"740",58,"Female","Yes",15,12,1963,21,"None","$75,000 TO $89,999","$25,000 OR MORE"
"741",66,"Female","Yes",12,10,1955,11,"None","$15,000 TO $17,499","$15,000 TO $19,999"
"742",NA,NA,"Yes",13,12,9999,24,"Two","$130,000 TO $149,999","$25,000 OR MORE"
"743",67,"Male","Yes",17,13,1954,26,"None","$170,000 OR OVER",NA
"744",55,"Female","Yes",15,7,1966,7,"None","$7,000 TO $7,999","$7,000 TO $7,999"
"745",57,"Female","Yes",14,9,1964,10,"None","$12,500 TO $14,999","$10,000 TO $14,999"
"746",NA,NA,NA,16,13,9999,27,NA,NA,NA
"747",64,"Male","Yes",12,9,1957,9,NA,"$10,000 TO $12,499","$10,000 TO $14,999"
"748",55,"Male","Yes",16,12,1966,20,NA,"$60,000 TO $74,999","$25,000 OR MORE"
"749",39,"Female","Yes",16,12,1982,19,"None","$50,000 TO $59,999","$25,000 OR MORE"
"750",27,"Female","Yes",17,11,1994,13,"None","$20,000 TO $22,499","$20,000 TO $24,999"
"751",27,"Male","Yes",16,12,1994,21,"None","$75,000 TO $89,999","$25,000 OR MORE"
"752",81,"Female","Yes",12,12,1940,18,"None","$40,000 TO $49,999","$25,000 OR MORE"
"753",57,"Female","Yes",12,12,1964,18,"None","$40,000 TO $49,999","$25,000 OR MORE"
"754",42,"Female","Yes",20,13,1979,26,"None","$170,000 OR OVER",NA
"755",56,"Female","Yes",12,12,1965,15,"None","$25,000 TO $29,999","$25,000 OR MORE"
"756",55,"Female","Yes",12,11,1966,14,NA,"$22,500 TO $24,999","$20,000 TO $24,999"
"757",30,"Female","Yes",14,NA,1991,NA,"None",NA,NA
"758",22,"Female","Yes",13,NA,1999,NA,NA,NA,NA
"759",51,"Female","Yes",15,9,1970,9,"None","$10,000 TO $12,499","$10,000 TO $14,999"
"760",65,"Female","Yes",16,13,1956,26,"None","$170,000 OR OVER",NA
"761",57,"Female","Yes",12,12,1964,22,"Two","$90,000 TO $109,999","$25,000 OR MORE"
"762",79,"Male","Yes",12,NA,1942,NA,"Four",NA,NA
"763",52,"Female","Yes",17,12,1969,22,"None","$90,000 TO $109,999","$25,000 OR MORE"
"764",73,"Male","Yes",15,12,1948,17,NA,"$35,000 TO $39,999","$25,000 OR MORE"
"765",78,"Female","Yes",11,7,1943,7,NA,"$7,000 TO $7,999","$7,000 TO $7,999"
"766",38,"Male","Yes",16,12,1983,20,"None","$60,000 TO $74,999","$25,000 OR MORE"
"767",45,"Female","Yes",14,12,1976,21,"None","$75,000 TO $89,999","$25,000 OR MORE"
"768",NA,"Female","No",13,8,9999,8,"Four","$8,000 TO $9,999","$8,000 TO $9,999"
"769",28,"Female","Yes",12,11,1993,14,"None","$22,500 TO $24,999","$20,000 TO $24,999"
"770",68,"Female","Yes",12,11,1953,13,"None","$20,000 TO $22,499","$20,000 TO $24,999"
"771",35,"Male","Yes",18,12,1986,21,"None","$75,000 TO $89,999","$25,000 OR MORE"
"772",29,"Female","Yes",12,NA,1992,NA,"None",NA,NA
"773",64,"Male","Yes",16,12,1957,18,"None","$40,000 TO $49,999","$25,000 OR MORE"
"774",62,"Female","Yes",15,12,1959,19,"None","$50,000 TO $59,999","$25,000 OR MORE"
"775",34,"Male","Yes",9,12,1987,15,"None","$25,000 TO $29,999","$25,000 OR MORE"
"776",43,"Female","Yes",16,12,1978,17,"None","$35,000 TO $39,999","$25,000 OR MORE"
"777",30,"Female","Yes",17,12,1991,21,"None","$75,000 TO $89,999","$25,000 OR MORE"
"778",57,"Female","Yes",15,12,1964,18,"None","$40,000 TO $49,999","$25,000 OR MORE"
"779",45,"Male","Yes",12,NA,1976,NA,"None",NA,NA
"780",37,"Female","Yes",14,12,1984,19,"None","$50,000 TO $59,999","$25,000 OR MORE"
"781",NA,NA,NA,NA,13,9999,27,NA,NA,NA
"782",62,"Female","Yes",14,12,1959,21,"None","$75,000 TO $89,999","$25,000 OR MORE"
"783",41,"Female","Yes",14,3,1980,3,"None","$3,000 TO $3,999","$3,000 TO $3,999"
"784",89,"Male","Yes",6,NA,1932,NA,"None",NA,NA
"785",46,"Male","Yes",16,1,1975,1,"None","$1,000 AND UNDER","$1,000 AND UNDER"
"786",53,"Female","Yes",16,NA,1968,NA,"None",NA,NA
"787",45,"Female","Yes",12,NA,1976,NA,"None",NA,NA
"788",73,"Female","Yes",12,9,1948,10,"None","$12,500 TO $14,999","$10,000 TO $14,999"
"789",NA,"Male","Yes",12,13,9999,27,NA,NA,NA
"790",85,"Male","No",15,10,1936,12,"Two","$17,500 TO $19,999","$15,000 TO $19,999"
"791",60,"Female","Yes",10,NA,1961,NA,"None",NA,NA
"792",36,"Female","Yes",12,12,1985,19,"None","$50,000 TO $59,999","$25,000 OR MORE"
"793",33,"Female","Yes",14,12,1988,19,"None","$50,000 TO $59,999","$25,000 OR MORE"
"794",69,"Male","Yes",12,12,1952,21,"None","$75,000 TO $89,999","$25,000 OR MORE"
"795",70,"Male","Yes",13,11,1951,14,"None","$22,500 TO $24,999","$20,000 TO $24,999"
"796",52,"Male","Yes",15,12,1969,20,"None","$60,000 TO $74,999","$25,000 OR MORE"
"797",37,"Male","Yes",12,NA,1984,NA,"None",NA,NA
"798",50,"Female","Yes",10,1,1971,1,"None","$1,000 AND UNDER","$1,000 AND UNDER"
"799",NA,"Female","No",17,12,9999,15,"Four","$25,000 TO $29,999","$25,000 OR MORE"
"800",49,"Female","Yes",14,8,1972,8,"None","$8,000 TO $9,999","$8,000 TO $9,999"
"801",66,"Male","Yes",12,12,1955,18,"Two","$40,000 TO $49,999","$25,000 OR MORE"
"802",63,"Male","Yes",19,12,1958,18,"Two","$40,000 TO $49,999","$25,000 OR MORE"
"803",67,"Female","Yes",12,NA,1954,NA,"None",NA,NA
"804",NA,"Female","Yes",18,NA,9999,NA,"Four",NA,NA
"805",41,"Male","Yes",16,12,1980,21,"None","$75,000 TO $89,999","$25,000 OR MORE"
"806",44,"Male","Yes",15,12,1977,20,"Two","$60,000 TO $74,999","$25,000 OR MORE"
"807",64,"Male","Yes",20,12,1957,18,"Four","$40,000 TO $49,999","$25,000 OR MORE"
"808",80,"Female","Yes",18,12,1941,17,"Three","$35,000 TO $39,999","$25,000 OR MORE"
"809",51,"Male","No",20,12,1970,21,"Four","$75,000 TO $89,999","$25,000 OR MORE"
"810",71,"Male","Yes",16,12,1950,20,"Two","$60,000 TO $74,999","$25,000 OR MORE"
"811",40,"Female","Yes",16,12,1981,21,"One","$75,000 TO $89,999","$25,000 OR MORE"
"812",48,"Male","Yes",13,1,1973,24,"Four","$130,000 TO $149,999","$1,000 AND UNDER"
"813",27,"Male","Yes",16,13,1994,26,NA,"$170,000 OR OVER",NA
"814",39,"Male","Yes",12,11,1982,13,"Four","$20,000 TO $22,499","$20,000 TO $24,999"
"815",44,"Male","Yes",12,NA,1977,NA,NA,NA,NA
"816",25,"Female","Yes",17,13,1996,26,"None","$170,000 OR OVER",NA
"817",37,"Female","Yes",13,12,1984,18,"None","$40,000 TO $49,999","$25,000 OR MORE"
"818",55,"Female","Yes",16,13,1966,26,"None","$170,000 OR OVER",NA
"819",NA,"Male","No",18,12,9999,22,"Four","$90,000 TO $109,999","$25,000 OR MORE"
"820",81,"Male","Yes",20,12,1940,20,"Two","$60,000 TO $74,999","$25,000 OR MORE"
"821",46,"Female","Yes",12,12,1975,20,"None","$60,000 TO $74,999","$25,000 OR MORE"
"822",71,"Male","Yes",16,13,1950,26,"One","$170,000 OR OVER",NA
"823",66,"Female","Yes",18,12,1955,21,"Two","$75,000 TO $89,999","$25,000 OR MORE"
"824",71,"Male","Yes",19,12,1950,21,"Four","$75,000 TO $89,999","$25,000 OR MORE"
"825",NA,"Male","No",18,12,9999,25,"Four","$150,000 TO $169,999","$25,000 OR MORE"
"826",56,"Male","Yes",16,13,1965,26,"Two","$170,000 OR OVER",NA
"827",23,"Female","Yes",14,NA,1998,NA,"None",NA,NA
"828",49,"Male","Yes",16,12,1972,25,"None","$150,000 TO $169,999","$25,000 OR MORE"
"829",74,"Male","No",18,12,1947,22,"Four","$90,000 TO $109,999","$25,000 OR MORE"
"830",63,"Male","No",16,12,1958,25,"Four","$150,000 TO $169,999","$25,000 OR MORE"
"831",30,"Male","No",16,12,1991,25,"Four","$150,000 TO $169,999","$25,000 OR MORE"
"832",27,"Female","Yes",18,12,1994,20,"None","$60,000 TO $74,999","$25,000 OR MORE"
"833",47,"Female","No",12,11,1974,13,"Four","$20,000 TO $22,499","$20,000 TO $24,999"
"834",69,"Female","Yes",16,12,1952,21,"One","$75,000 TO $89,999","$25,000 OR MORE"
"835",31,"Female","Yes",18,12,1990,17,NA,"$35,000 TO $39,999","$25,000 OR MORE"
"836",NA,NA,NA,NA,13,9999,27,NA,NA,NA
"837",60,"Male","No",18,12,1961,23,"Four","$110,000 TO $129,999","$25,000 OR MORE"
"838",NA,"Male","Yes",18,12,9999,18,"Four","$40,000 TO $49,999","$25,000 OR MORE"
"839",55,"Male","Yes",18,12,1966,17,"Two","$35,000 TO $39,999","$25,000 OR MORE"
"840",47,"Female","Yes",19,12,1974,22,NA,"$90,000 TO $109,999","$25,000 OR MORE"
"841",38,"Female","Yes",13,12,1983,18,"None","$40,000 TO $49,999","$25,000 OR MORE"
"842",NA,"Female","Yes",16,NA,9999,NA,"None",NA,NA
"843",71,"Female","Yes",12,4,1950,4,NA,"$4,000 TO $4,999","$4,000 TO $4,999"
"844",35,"Female","Yes",18,12,1986,24,"None","$130,000 TO $149,999","$25,000 OR MORE"
"845",75,"Female","Yes",8,8,1946,8,NA,"$8,000 TO $9,999","$8,000 TO $9,999"
"846",NA,"Female","Yes",12,11,9999,13,"None","$20,000 TO $22,499","$20,000 TO $24,999"
"847",60,"Female","Yes",12,5,1961,5,"Two","$5,000 TO $5,999","$5,000 TO $5,999"
"848",NA,"Female","No",16,13,9999,26,"Four","$170,000 OR OVER",NA
"849",80,"Female","Yes",15,12,1941,25,"Three","$150,000 TO $169,999","$25,000 OR MORE"
"850",39,"Male","No",18,12,1982,19,NA,"$50,000 TO $59,999","$25,000 OR MORE"
"851",NA,"Female","Yes",15,12,9999,20,"None","$60,000 TO $74,999","$25,000 OR MORE"
"852",61,"Male","No",16,13,1960,26,"Two","$170,000 OR OVER",NA
"853",57,"Male","Yes",16,12,1964,18,"None","$40,000 TO $49,999","$25,000 OR MORE"
"854",73,"Female","Yes",12,12,1948,18,"Two","$40,000 TO $49,999","$25,000 OR MORE"
"855",53,"Male","Yes",12,NA,1968,NA,NA,NA,NA
"856",20,"Female","Yes",12,12,2001,20,"Two","$60,000 TO $74,999","$25,000 OR MORE"
"857",58,"Male","Yes",14,8,1963,8,"Four","$8,000 TO $9,999","$8,000 TO $9,999"
"858",61,"Male","Yes",10,1,1960,1,"None","$1,000 AND UNDER","$1,000 AND UNDER"
"859",35,"Female","Yes",14,12,1986,21,"None","$75,000 TO $89,999","$25,000 OR MORE"
"860",58,"Female","Yes",12,12,1963,16,"None","$30,000 TO $34,999","$25,000 OR MORE"
"861",55,"Female","Yes",16,12,1966,23,"One","$110,000 TO $129,999","$25,000 OR MORE"
"862",59,"Female","Yes",16,12,1962,21,"None","$75,000 TO $89,999","$25,000 OR MORE"
"863",36,"Female","Yes",16,12,1985,17,"None","$35,000 TO $39,999","$25,000 OR MORE"
"864",31,"Male","Yes",16,12,1990,22,"None","$90,000 TO $109,999","$25,000 OR MORE"
"865",62,"Female","Yes",20,12,1959,18,"Two","$40,000 TO $49,999","$25,000 OR MORE"
"866",62,"Male","Yes",18,10,1959,12,"None","$17,500 TO $19,999","$15,000 TO $19,999"
"867",40,"Female","Yes",12,NA,1981,NA,"None",NA,NA
"868",45,"Female","No",18,13,1976,26,"None","$170,000 OR OVER",NA
"869",75,"Female","Yes",17,12,1946,17,"None","$35,000 TO $39,999","$25,000 OR MORE"
"870",74,"Male","Yes",16,12,1947,23,"Four","$110,000 TO $129,999","$25,000 OR MORE"
"871",51,"Female","Yes",15,12,1970,20,"Two","$60,000 TO $74,999","$25,000 OR MORE"
"872",89,"Male","Yes",16,12,1932,20,"Four","$60,000 TO $74,999","$25,000 OR MORE"
"873",71,"Female","Yes",16,12,1950,25,"None","$150,000 TO $169,999","$25,000 OR MORE"
"874",71,"Male","Yes",18,12,1950,24,"None","$130,000 TO $149,999","$25,000 OR MORE"
"875",58,"Male","Yes",20,13,1963,26,"None","$170,000 OR OVER",NA
"876",51,"Female","No",17,12,1970,20,"Two","$60,000 TO $74,999","$25,000 OR MORE"
"877",51,"Female","Yes",16,13,1970,26,"Two","$170,000 OR OVER",NA
"878",61,"Female","Yes",16,NA,1960,NA,"None",NA,NA
"879",NA,"Female","Yes",13,NA,9999,NA,"Four",NA,NA
"880",42,"Male","No",12,11,1979,13,"None","$20,000 TO $22,499","$20,000 TO $24,999"
"881",64,"Male","Yes",12,12,1957,23,"None","$110,000 TO $129,999","$25,000 OR MORE"
"882",55,"Female","Yes",12,NA,1966,NA,"Two",NA,NA
"883",73,"Female","Yes",18,12,1948,21,"None","$75,000 TO $89,999","$25,000 OR MORE"
"884",82,"Female","Yes",12,10,1939,12,"Four","$17,500 TO $19,999","$15,000 TO $19,999"
"885",55,"Male","No",12,12,1966,19,"Four","$50,000 TO $59,999","$25,000 OR MORE"
"886",40,"Female","Yes",20,NA,1981,NA,"Four",NA,NA
"887",33,"Female","Yes",16,13,1988,26,"Two","$170,000 OR OVER",NA
"888",82,"Male","Yes",18,12,1939,23,"None","$110,000 TO $129,999","$25,000 OR MORE"
"889",58,"Male","Yes",15,12,1963,22,"None","$90,000 TO $109,999","$25,000 OR MORE"
"890",83,"Female","Yes",16,NA,1938,NA,"Four",NA,NA
"891",41,"Male","Yes",17,12,1980,21,"One","$75,000 TO $89,999","$25,000 OR MORE"
"892",38,"Female","Yes",12,2,1983,13,"None","$20,000 TO $22,499","$1,000 TO $2,999"
"893",NA,NA,NA,NA,13,9999,27,NA,NA,NA
"894",63,"Male","Yes",14,12,1958,23,"Four","$110,000 TO $129,999","$25,000 OR MORE"
"895",NA,"Female","No",14,NA,9999,NA,NA,NA,NA
"896",73,"Female","Yes",18,12,1948,23,"Four","$110,000 TO $129,999","$25,000 OR MORE"
"897",74,"Female","Yes",16,12,1947,22,"Four","$90,000 TO $109,999","$25,000 OR MORE"
"898",62,"Female","Yes",17,12,1959,22,NA,"$90,000 TO $109,999","$25,000 OR MORE"
"899",51,"Female","No",18,12,1970,22,"Four","$90,000 TO $109,999","$25,000 OR MORE"
"900",58,"Female","Yes",20,13,1963,26,"Four","$170,000 OR OVER",NA
"901",29,"Female","Yes",14,NA,1992,NA,"Two",NA,NA
"902",36,"Female","No",16,13,1985,26,"Four","$170,000 OR OVER",NA
"903",64,"Male","No",17,12,1957,21,"Four","$75,000 TO $89,999","$25,000 OR MORE"
"904",77,"Male","Yes",15,12,1944,21,"None","$75,000 TO $89,999","$25,000 OR MORE"
"905",54,"Male","Yes",16,13,1967,26,"None","$170,000 OR OVER",NA
"906",37,"Female","Yes",14,12,1984,20,"None","$60,000 TO $74,999","$25,000 OR MORE"
"907",76,"Female","Yes",17,12,1945,20,"None","$60,000 TO $74,999","$25,000 OR MORE"
"908",68,"Male","Yes",14,12,1953,24,"None","$130,000 TO $149,999","$25,000 OR MORE"
"909",52,"Male","No",14,12,1969,22,"Four","$90,000 TO $109,999","$25,000 OR MORE"
"910",59,"Male","No",18,13,1962,26,NA,"$170,000 OR OVER",NA
"911",42,"Male","No",15,NA,1979,NA,"Four",NA,NA
"912",47,"Female","No",16,13,1974,26,"Four","$170,000 OR OVER",NA
"913",53,"Male","No",16,12,1968,24,"Four","$130,000 TO $149,999","$25,000 OR MORE"
"914",58,"Male","Yes",16,13,1963,26,"None","$170,000 OR OVER",NA
"915",63,"Female","Yes",14,12,1958,16,"None","$30,000 TO $34,999","$25,000 OR MORE"
"916",61,"Female","No",16,12,1960,23,"Four","$110,000 TO $129,999","$25,000 OR MORE"
"917",64,"Female","Yes",14,12,1957,21,"Four","$75,000 TO $89,999","$25,000 OR MORE"
"918",38,"Female","No",19,NA,1983,NA,"Four",NA,NA
"919",68,"Female","Yes",11,8,1953,8,"None","$8,000 TO $9,999","$8,000 TO $9,999"
